# Upstream commits since a662fbb2ff touching src/Mod/PartDesign tests/src/Mod/PartDesign src/Gui/Inventor/Draggers src/Mod/Part/App/GizmoHelper, tip 3383e9119f.
# kind: subject-regex guess (fix/feature/refactor/noise/?). family: gizmo = touches the gizmo sources or says gizmo/dragger.
# fwd/rev: git apply --check against the branch at creation. status: have(rev)=reverse-applies, open.
# decision: taken <fork hash> | adapted <fork hash> | have | n/a | superseded | declined <why> | deferred
hash	date	author	kind	family	fwd	rev	status	lines	decision	subject	files
50fc8e86c7	2023-12-17	Zheng, Lei	fix		0	0	open	10	have (Fork adds the new body to the active Part before setActiveObject (CommandBody...)	PD: fix creating new body in active part	Gui/CommandBody.cpp
0de4c053a6	2023-12-20	Syres916	noise		0	0	open	208		[PartDesign] Sprocket fix bug with translated references	SprocketFeature.py
8ba8375dbb	2023-12-20	Syres916	feature		0	0	open	60		[PartDesign] Add English references at end of table for clarity	SprocketFeature.py
41d9c4bfe5	2023-12-20	Syres916	?		0	0	open	1		[PartDesign] Remove unwanted print statement	SprocketFeature.py
72821eb513	2023-12-27	Max Wilfinger	?		0	0	open	15		Change the description of the default 'Toggle active object' command in the right click menu based on the current state of the selected object.	Gui/ViewProviderBody.cpp
aac3003dcf	2023-12-28	Max Wilfinger	refactor		0	0	open	40		use checkbox in menu item to display current object state and refactor the code	Gui/ViewProviderBody.cpp Gui/ViewProviderBody.h
da05f7c8e8	2023-12-21	bgbsww	?		0	0	open	4		Provide a default axis for polar patterns in multitransformation	Gui/TaskMultiTransformParameters.cpp
f4167b48c0	2023-12-28	Max Wilfinger	feature		0	0	open	3		add placement command to context menu	Gui/Workbench.cpp
bf3ccbc5b6	2024-01-08	bgbsww	fix		0	0	open	259	n/a (Inverted ErrorOnSurface Frenet fallback from #11312 not in the fork)	Correct mistaken Helix patch; use MakePipe for frenet for speed; add tests (#11598)	App/FeatureHelix.cpp CMakeLists.txt PartDesignTests/TestHelix.py PartDesignTests/__init__.py TestPartDesignApp.py
8cadc2294d	2024-01-08	Syres916	?		0	0	open	32		[PartDesign] Hole, ignore duplicate circle/curve centers (#11773)	App/FeatureHole.cpp
56278633ce	2023-12-24	Ajinkya Dahale	fix		0	0	open	7	have (Fork's SelectionMode (TaskRevolutionParameters.cpp:506-531) has no stale sele...)	[PD] Fix reference axis selection in revolve/groove	Gui/TaskRevolutionParameters.cpp
d3049deaa9	2024-01-10	wwmayer	feature		0	0	open	62		PD: Add test for helix (#11601)	CMakeLists.txt PartDesignTests/TestHelix.py TestPartDesignApp.py
a0331f2c80	2024-01-12	Syres916	?		0	0	open	1		[PartDesign] Revert #11357	Gui/TaskPipeParameters.cpp
fa0702956c	2024-01-21	Ulices	?		1	0	open	12		PartDesign: Update Length/Offset when Occurrences changes  (#12069)	App/FeatureLinearPattern.cpp WizardShaft/WizardShaft.py
963652c6a7	2024-02-03	Adrian Insaurralde Avalos	fix		0	0	open	6	have (No raw-label paths left (CommandBody.cpp:263, CommandLink.cpp:631, Expression...)	Avoid sending unescaped quotes to python console	Gui/CommandBody.cpp
4d929d3301	2024-01-24	Florian Foinant-Willig	feature		0	0	open	22		[PD] Add a Suppressed property to disable a feature	App/Feature.cpp App/Feature.h
86e75037d9	2024-01-28	Florian Foinant-Willig	?		0	0	open	3		Set Suppressed false if no shape	App/Feature.cpp
51f546f1f6	2024-01-31	Zolko-123	?		1	0	open	31		Update Mod/PartDesign/Gui/ViewProviderDatumCS.cpp	Gui/ViewProviderDatumCS.cpp
1eb0444bd5	2024-02-12	Florian Foinant-Willig	feature		0	0	open	16		Part & PartDesign Cone: allow equal radii (#12219)	App/FeaturePrimitive.cpp Gui/TaskPrimitiveParameters.cpp
df7e783513	2024-02-07	wmayer	noise		0	0	open	1		Mod: fix several compiler warnings: * fix -Wsometimes-uninitialized * fix -Wunused-parameter * fix -Wunused-variable * fix -Winconsistent-missing-override * fix -Wsign-compare * fix -Wreorder-ctor * fix -Wtautological-overlap-compare	App/FeatureHole.cpp
74c52c9063	2024-02-13	Florian Foinant-Willig	fix		0	0	open	3	have (Fork Feature::getBaseShape already returns early on null: Feature.cpp:196-198...)	PD: handle null pointer in Feature::getBaseShape (#12385)	App/Feature.cpp
5139182dbe	2024-02-17	Andre Althaus	refactor		0	0	open	595		Refactor PD Pattern Tasks ui files	Gui/CMakeLists.txt Gui/TaskLinearPatternParameters.ui Gui/TaskMirroredParameters.ui Gui/TaskMultiTransformParameters.ui Gui/TaskPolarPatternParameters.ui Gui/TaskScaledParameters.ui Gui/TaskTransformedParameters.ui
