# Upstream Sketcher commits since merge base a662fbb2ff, upstream/main bd6be559e8 (2026-09-12).
# kind: subject-regex guess (fix/feature/refactor/noise/?). fwd/rev: git apply --check against SketcherPort at creation.
# status: have(rev)=reverse-applies, have(sync)=predates the per-file baseline of ca04ac80a1, partial(sync), open. n/a(uncompiled)=touches only sources the fork does not compile.
# decision: filled in as picks land -- taken <fork hash> | adapted <fork hash> | have | n/a | superseded | declined <why> | deferred
hash	date	author	kind	fwd	rev	status	lines	decision	subject	files
ee6dacdca7	2024-01-04	Max Wilfinger	feature	0	0	have(sync)	110		add capabilities to auto-dimension tool to dimension distances between arc-point, arc-circle, arc-arc	Gui/CommandConstraints.cpp
5a75578308	2024-01-05	Florian Foinant-Willig	fix	1	0	n/a(uncompiled)	14		Sketcher: fix one point distance (#11854)	Gui/EditModeConstraintCoinManager.cpp
e43a3b17c8	2023-12-24	Max Wilfinger	feature	1	0	have(sync)	18		Change tool description of rotate and polygon tool to hint users to modify with U and J keys.	Gui/DrawSketchHandlerPolygon.h Gui/DrawSketchHandlerRotate.h
365c5f4777	2024-01-06	bgbsww	feature	1	0	open	16		Detect circular references in sketches, and add corresponding tests (#11716)	SketcherTests/TestSketchExpression.py
9bb9eb8b21	2024-01-07	Paddle	fix	1	0	have(sync)	4		Sketcher_dimension : Fixes https://github.com/FreeCAD/FreeCAD/issues/11904	Gui/CommandConstraints.cpp
476089a2ad	2024-01-02	Max Wilfinger	?	0	0	partial(sync)	315		sketcher: create contextual right click menu	Gui/CommandConstraints.cpp Gui/CommandCreateGeo.cpp Gui/ViewProviderSketch.cpp Gui/ViewProviderSketch.h Gui/Workbench.cpp
8abd09398a	2024-01-09	bgbsww	feature	0	1	have(rev)	1		Add support for OCCT 7.8.0 (#11909)	Gui/EditDatumDialog.cpp
827781ab3f	2023-11-24	Paddle	?	1	0	n/a(uncompiled)	57		Improve angle constraint rendering.	Gui/EditModeConstraintCoinManager.cpp
5ee16df6b7	2023-11-24	Paddle	?	1	0	n/a(uncompiled)	61		Draw arc helpers for radius constraints.	Gui/EditModeConstraintCoinManager.cpp
b0176c2d92	2024-01-17	Paddle	feature	1	0	have(sync)	10		Sketcher: add isPeriodicBsplineCurve helper function	Gui/Utils.cpp Gui/Utils.h
6db820a580	2024-01-07	Paddle	?	0	0	have(sync)	81		Sketcher: Define double click on edges : Select the whole wire.	Gui/ViewProviderSketch.cpp Gui/ViewProviderSketch.h
919d8c9392	2024-01-17	Paddle	fix	1	0	open	3		Sketcher: bspline: fix ESC exit tool	Gui/DrawSketchHandlerBSpline.h
4acff3f66f	2024-01-17	Paddle	fix	0	0	open	10		Sketcher: polyline: fix ESC exit tool	Gui/DrawSketchHandlerLineSet.h
64c867eb0e	2024-01-16	Paddle	fix	0	0	n/a(uncompiled)	190		Sketcher Fix radius arc helpers.	Gui/EditModeConstraintCoinManager.cpp Gui/EditModeConstraintCoinManager.h
dca00ec80e	2024-01-16	Paddle	?	1	0	n/a(uncompiled)	10		Sketcher : improve single line angle rendering.	Gui/EditModeConstraintCoinManager.cpp
df867a25b2	2024-01-16	Paddle	?	0	0	n/a(uncompiled)	3		Sketcher : arc angle render improvement.	Gui/EditModeConstraintCoinManager.cpp
fd2e35b7eb	2023-11-26	Paddle	feature	0	0	partial(sync)	288		Sketcher: Add copy/cut/paste sketcher commands	Gui/CommandSketcherTools.cpp Gui/ShortcutListener.cpp Gui/ShortcutListener.h Gui/ViewProviderSketch.h Gui/Workbench.cpp
a8b6e1e9c3	2024-01-11	Paddle	feature	0	0	have(sync)	332		Sketcher: python converter : add possibility to add lastGeoId to the constraint process.	App/PythonConverter.cpp App/PythonConverter.h
8ed22b0fd8	2024-01-11	Paddle	?	0	0	have(sync)	124		Sketcher: copy paste : move from XML to python.	Gui/CommandSketcherTools.cpp
eb91978459	2024-01-16	Paddle	feature	0	0	n/a(uncompiled)	135		Sketcher : Distance constraint : introduce arc helpers for conic distances.	Gui/EditModeConstraintCoinManager.cpp
17893d39ca	2024-01-20	Paddle	refactor	0	0	have(sync)	31		Sketcher: PythonConverter: Replace useLastGeoIdVar bool by enum class	App/PythonConverter.cpp App/PythonConverter.h Gui/CommandSketcherTools.cpp
122f163d0c	2024-01-19	Kacper Donat	?	0	0	open	29		Sketcher: Draw proper checkbox control in Elements UI	Gui/TaskSketcherElements.cpp
ecd591450c	2024-01-20	Kacper Donat	?	0	0	open	6		Sketcher: Make Constraints UI style aware	Gui/TaskSketcherConstraints.cpp
6dda56117a	2024-01-05	Ajinkya Dahale	?	1	0	partial(sync)	68		[Sketcher] Visualize B-spline in edit mode	Gui/DrawSketchHandlerBSpline.h Gui/DrawSketchHandlerBSplineByInterpolation.h
da6a4fe57b	2024-01-20	Kacper Donat	?	0	0	open	330		Sketcher: Make Elements UI style aware	Gui/TaskSketcherElements.cpp
2fac012226	2024-01-21	Kacper Donat	fix	0	0	open	58		Sketcher: Fix checkbox behavior for Element checkboxes	Gui/TaskSketcherElements.cpp Gui/TaskSketcherElements.h
34b6b36547	2024-01-21	Kacper Donat	?	0	0	open	25		Sketcher: Disable visibility checkbox for external geometry	Gui/TaskSketcherElements.cpp
b140feabaf	2024-01-15	Paddle	?	0	0	open	2681		Sketcher: Edges pattern and width by type.	Gui/AppSketcherGui.cpp Gui/CMakeLists.txt Gui/EditModeCoinManager.cpp Gui/EditModeCoinManager.h Gui/EditModeCoinManagerParameters.h Gui/EditModeConstraintCoinManager.cpp Gui/EditModeGeometryCoinConverter.cpp Gui/EditModeGeometryCoinConverter.h Gui/EditModeGeometryCoinManager.cpp Gui/SketcherSettings
0bef2e927b	2024-01-13	Max Wilfinger	feature	0	0	have(sync)	164		[Sketcher] enable BSpline commands in contextual right click menu	Gui/Resources/icons/splines/Sketcher_BSplineApproximate.svg Gui/Resources/icons/splines/Sketcher_BSplineInsertKnot.svg Gui/Resources/icons/splines/Sketcher_JoinCurves.svg Gui/ViewProviderSketch.cpp
98712d228b	2024-01-29	Roy-043	fix	0	0	open	58		Sketcher: minor fixes to 2 prefs ui files	Gui/SketcherSettings.ui Gui/SketcherSettingsAppearance.ui
d7ee978e42	2024-01-30	PaddleStroke	fix	0	1	have(rev)	2		Sketcher: Fix sketcher_Copy bug when a single geometry was copied, geoId was not correct in constraints.	App/PythonConverter.cpp
a54840c2c5	2024-01-31	Chris Hennes	fix	0	1	have(rev)	2		Sketcher: Add check for handler's existence	Gui/DrawSketchController.h
8afa940ca2	2024-02-01	PaddleStroke	feature	0	0	partial(sync)	1687		[Sketcher] Scale DSH : adds a tool to scale geometries. (#11265)	Gui/CMakeLists.txt Gui/CommandSketcherTools.cpp Gui/DrawSketchHandlerRotate.h Gui/DrawSketchHandlerScale.h Gui/Resources/Sketcher.qrc Gui/Resources/icons/pointers/Sketcher_Pointer_Create_Scale.svg Gui/Resources/icons/tools/Sketcher_Scale.svg Gui/Utils.cpp Gui/Utils.h Gui/Workbench.cpp
963652c6a7	2024-02-03	Adrian Insaurralde Avalos	fix	0	0	open	5		Avoid sending unescaped quotes to python console	Gui/EditDatumDialog.cpp
6a3c0555d0	2023-03-30	Ajinkya Dahale	feature	1	0	open	337	taken 88c9baa853	[Sketcher][planegcs] Support angle via point with params	App/planegcs/Constraints.cpp App/planegcs/Constraints.h App/planegcs/Geo.h
5ba050b467	2023-04-05	Ajinkya Dahale	feature	0	0	open	160	taken 88c9baa853	[Sketcher][planegcs] Implement parametric `BSpline::CalculateNormal`	App/planegcs/Geo.cpp App/planegcs/Geo.h
82f03593fd	2024-02-08	Ajinkya Dahale	feature	1	0	open	14	taken 88c9baa853	[planegcs] Implement `calculateAngleViaParams`	App/planegcs/GCS.cpp App/planegcs/GCS.h
65b4dd10ae	2023-04-05	Ajinkya Dahale	?	0	0	partial(sync)	915	partial 88c9baa853: App/SketchObject.cpp Gui/CommandConstraints.cpp	[Sketcher] Expose general tangency with B-splines to Sketcher	App/Sketch.cpp App/Sketch.h App/SketchObject.cpp App/planegcs/GCS.cpp App/planegcs/GCS.h App/planegcs/Geo.cpp Gui/CommandConstraints.cpp
b1ef4be6fa	2024-01-21	Ajinkya Dahale	?	0	0	open	36	taken 88c9baa853	[planegcs] Remove some numerical testing	App/planegcs/Constraints.cpp
da48a72269	2024-01-26	Ajinkya Dahale	feature	0	0	open	69	taken 88c9baa853	[planegcs] Implement `BSpline::Value()`	App/planegcs/Geo.cpp
1e19926a77	2024-02-08	Ajinkya Dahale	feature	1	0	open	30	taken 88c9baa853	[planegcs] Add `SketcherExport` macro to classes in Geo.h	App/planegcs/Geo.h
